Re:cord 전환율 시나리오 비교 - 3년차 기준

시나리오,Free→Premium 전환율,Premium→Business 전환율,총 사용자,Free 사용자,Premium 사용자,Business 사용자,월 매출,연 매출,순이익,누적 순이익(3년),평가
비관적,7%,2%,25000,19250,1375,375,25856250,310275000,129049500,173885100,최소 목표
보수적,9%,3%,25000,18500,1875,625,35625000,427500000,252954000,359418600,안정적
중립적(기준),13%,6%,25910,19951,5363,596,78683300,944199600,739127600,906984340,목표 달성
낙관적,15%,8%,25910,18144,6518,1248,108585720,1303028640,1097956640,1274813080,초과 달성
공격적,20%,10%,25910,15546,7764,1600,130383600,1564603200,1359531200,1546388040,최상 시나리오

가격별 시나리오 비교 - 중립 전환율 기준

가격 시나리오,Premium 가격,Business 가격,Premium 사용자,Business 사용자,월 매출,연 매출,순이익,가격 저항 리스크
현재 가격,9900,19900,5363,596,65005650,780067800,574995800,낮음
제안 A(+20%),11900,24900,5363,596,78683300,944199600,739127600,중간(권장)
제안 B(+30%),12900,29900,4826,536,80029740,960356880,755284880,높음
제안 C(+50%),14900,39900,4290,477,87533430,1050401160,845329160,매우 높음
인하(-20%),7920,15920,5899,656,58785000,705420000,500348000,낮음

리뷰 제한별 시나리오 비교

제한 시나리오,Free 제한,Premium 제한,Free→Premium 전환율,Premium→Business 전환율,월 매출,연 매출,평가
현재,20개,100개/월,10%,3%,56588000,679056000,기준선
제안 A(강화),15개,60개/월,13%,6%,78683300,944199600,권장
제안 B(공격적),12개,50개/월,15%,8%,94262800,1131153600,리스크 높음
제안 C(완화),25개,150개/월,8%,2%,40205600,482467200,매력도 낮음
하이브리드,15개+180일,60개+누적500,13%,6%,78683300,944199600,최적(권장)

워터마크 바이럴 효과 시나리오

바이럴 시나리오,Free 사용자,워터마크 CTR,클릭→가입 전환율,월 신규 가입,CAC 절감액,연 마케팅 비용 절감,평가
비관적,10000,1.0%,20%,200,1600000,19200000,기본
보수적,10000,1.5%,25%,375,3000000,36000000,안정적
중립적(기준),10000,2.0%,30%,600,4800000,57600000,목표
낙관적,10000,3.0%,35%,1050,8400000,100800000,우수
공격적,15000,4.0%,40%,2400,19200000,230400000,최상

CAC & LTV 민감도 분석

지표,비관(-30%),보수(-15%),기준,낙관(+15%),공격(+30%),평가
CAC,11200,9200,8000,6800,5600,낮을수록 좋음
Premium LTV,106029,128748,151470,174192,196914,높을수록 좋음
Business LTV,334320,406000,477600,549200,620880,높을수록 좋음
Blended LTV,128858,156471,184083,211695,239307,높을수록 좋음
LTV:CAC 비율,11.5:1,17.0:1,23.0:1,31.1:1,42.7:1,3:1 이상 건강
Payback Period(월),1.33,1.10,0.95,0.81,0.70,12개월 이내 우수

Churn Rate 영향 분석 - 3년차 기준

Churn 시나리오,Premium Churn(월),Business Churn(월),평균 구독 기간,Blended LTV,연 매출,순이익,평가
비관(높은 이탈),9%,5%,11개월,103362,684000000,478928000,위험
보수,7%,4%,14개월,143235,812000000,606928000,주의
기준,6%,3%,18개월,184083,944199600,739127600,목표
낙관,4%,2%,24개월,245444,1076000000,870928000,우수
공격(낮은 이탈),3%,1%,32개월,327259,1208000000,1002928000,최상

손익분기점 시나리오

고정비용 시나리오,월 고정비용,평균 공헌이익,손익분기점(유료 사용자),현재 가격 도달 시기,제안 가격 도달 시기,평가
최소(개발자 1명),3500000,9885,354명,10개월,8개월,초기 단계
보수(개발자 1명+마케팅),4257650,9885,431명,12개월,10개월,권장
기준(개발자 2명),5500000,11885,463명,13개월,11개월,성장기
확장(개발자 3명+CS),8000000,11885,673명,16개월,13개월,확장기
공격(개발자 5명+팀),12000000,11885,1010명,20개월,16개월,스케일업

연간 결제 할인율 비교

할인율,Premium 연 가격,Business 연 가격,연 결제 비율,평균 월 매출/사용자,현금 흐름,평가
10%,128520,268920,15%,10692,나쁨,할인 부족
15%,121380,253830,22%,10143,보통,경쟁력 부족
20%(기준),114240,239040,30%,9306,좋음,업계 표준
25%,107100,224100,42%,8341,매우 좋음,공격적
30%,99960,209160,55%,7227,우수(현금),이익 희생

TAM & SAM 분석

시장,모집단,전환 가능성,잠재 고객,3년차 점유율,5년차 목표,평가
TAM(전체 시장),프리랜서 300000명,5%,15000명,172%,300%,공격적 목표
SAM(실제 시장),온라인 활동 프리랜서 100000명,10%,10000명,259%,400%,달성 가능
SOM(초기 목표),수도권 프리랜서 30000명,20%,6000명,432%,600%,현실적
Niche(필라테스/PT),수도권 필라테스/PT 5000명,40%,2000명,1296%,1500%,매우 현실적

경쟁사 가격 비교

서비스,가격(월),주요 기능,Re:cord 대비,전환 가능성,시장 포지셔닝
Linktree,6750원,링크 통합,+76% 비쌈,높음(기능 우위),상위 호환
Tiro,9900원,포트폴리오,동일,중간(직접 경쟁),동급
크몽/숨고,수수료 15-20%,프로젝트 매칭,저렴(고정비),낮음(다른 가치),보완재
Notion,13500원,범용 워크스페이스,-13% 저렴,중간(범용),대체재
자체 제작,50000-200000원,개발 비용,-80% 저렴,낮음(시간/기술),DIY

핵심 권장사항 요약

항목,현재,권장,변경률,예상 효과,우선순위,실행 시기
Free 제한,20개,15개+180일,-25%,전환율 +30%,1순위,즉시
Premium 가격,9900원,11900원,+20%,매출 +20%,1순위,1개월 내
Premium 제한,100개/월,60개/월,-40%,Business 전환 +100%,2순위,3개월 내
Business 가격,19900원,24900원,+25%,매출 +15%,2순위,3개월 내
연간 할인율,20%,20%,유지,현금 흐름 안정,3순위,유지
워터마크 CTR,1.5%,3.0%,+100%,CAC -50%,1순위,즉시
