Re:cord 3년 재무 모델 - 월별 상세

월,연도,총 사용자,Free 사용자,Premium 사용자,Business 사용자,Premium 매출,Business 매출,총 매출,고정비용,변동비용,총 비용,순이익,누적 순이익,Free→Premium 전환율,Premium→Business 전환율
1,1,100,80,18,2,214200,49800,264000,4257650,300,4257950,-3993950,-3993950,10%,3%
2,1,120,96,22,2,261800,49800,311600,4257650,360,4258010,-3946410,-7940360,10%,3%
3,1,173,133,36,4,428400,99600,528000,4257650,600,4258250,-3730250,-11670610,10%,3%
4,1,208,160,43,5,511700,124500,636200,4257650,720,4258370,-3622170,-15292780,10%,3%
5,1,250,193,52,5,619200,124500,743700,4257650,855,4258505,-3514805,-18807585,10%,3%
6,1,358,276,74,8,880600,199200,1079800,4257650,1230,4258880,-3179080,-21986665,10%,3%
7,1,430,331,89,10,1059100,249000,1308100,4257650,1485,4259135,-2951035,-24937700,10%,3%
8,1,516,397,107,12,1273300,298800,1572100,4257650,1785,4259435,-2687335,-27625035,10%,3%
9,1,743,572,154,17,1832600,423300,2255900,4257650,2565,4260215,-2004315,-29629350,10%,3%
10,1,892,686,185,21,2201500,522900,2724400,4257650,3090,4260740,-1536340,-31165690,10%,3%
11,1,1070,824,222,24,2642200,597600,3239800,4257650,3690,4261340,-1021540,-32187230,10%,3%
12,1,1541,1187,319,35,3796100,871500,4667600,4257650,5310,4262960,404640,-31782590,10%,3%
13,2,1772,1365,367,40,4367300,996000,5363300,5500000,6105,5506105,-142805,-31925395,11%,4%
14,2,2038,1569,422,47,5021800,1170300,6192100,5500000,7035,5507035,685065,-31240330,11%,4%
15,2,2343,1804,485,54,5775900,1345800,7121700,5500000,8085,5508085,1613615,-29626715,11%,4%
16,2,2694,2075,558,61,6642600,1519500,8162100,5500000,9285,5509285,2652815,-26973900,11%,4%
17,2,3098,2386,642,70,7639800,1743000,9382800,5500000,10680,5510680,3872120,-23101780,12%,4%
18,3,3564,2744,738,82,8787000,2041800,10828800,5500000,12300,5512300,5316500,-17785280,12%,5%
19,3,4098,3155,849,94,10103100,2340600,12443700,5500000,14145,5514145,6929555,-10855725,12%,5%
20,3,4713,3629,976,108,11611600,2689200,14300800,5500000,16260,5516260,8784540,-2071185,12%,5%
21,3,5421,4174,1122,125,13353800,3112500,16466300,5500000,18705,5518705,10947595,8876410,12%,5%
22,3,6234,4800,1291,143,15363100,3561700,18924800,5500000,21525,5521525,13403275,22279685,12%,5%
23,3,7169,5521,1485,163,17671500,4058700,21730200,5500000,24735,5524735,16205465,38485150,13%,5%
24,3,8250,6353,1708,189,20325200,4706100,25031300,5500000,28455,5528455,19502845,57988000,13%,5%
25,3,9488,7304,1964,220,23371600,5478000,28849600,8000000,32760,8032760,20816840,78804840,13%,6%
26,3,10911,8399,2258,254,26870200,6324600,33194800,8000000,37680,8037680,25157120,103961960,13%,6%
27,3,12548,9659,2597,292,30904300,7270800,38175100,8000000,43335,8043335,30131765,134093725,13%,6%
28,3,14430,11108,2986,336,35538140,8365200,43903340,8000000,49830,8049830,35853510,169947235,13%,6%
29,3,16594,12774,3433,387,40853470,9634300,50487770,8000000,57300,8057300,42430470,212377705,13%,6%
30,3,19084,14691,3948,445,46999720,11080500,58080220,8000000,65895,8065895,50014325,262392030,13%,6%
31,3,21947,16895,4540,512,54029760,12750400,66780160,8000000,75780,8075780,58704380,321096410,13%,6%
32,3,25239,19430,5221,588,62145190,14645200,76790390,8000000,87135,8087135,68703255,389799665,13%,6%
33,3,29025,22345,6004,676,71448760,16836400,88285160,8000000,100260,8100260,80184900,469984565,13%,6%
34,3,33379,25697,6905,777,82173295,19348300,101521595,8000000,115305,8115305,93406290,563390855,13%,6%
35,3,38385,29551,7941,893,94486690,22231700,116718390,8000000,132510,8132510,108585880,671976735,13%,6%
36,3,44143,33984,9129,1030,108600610,25647000,134247610,8000000,152385,8152385,126095225,798071960,13%,6%

주요 가정:
- 1년차 월 성장률: 20%
- 2년차 월 성장률: 15%
- 3년차 월 성장률: 10%
- Premium 가격: 11900원 (13개월차부터 인상)
- Business 가격: 24900원 (18개월차부터 인상)
- Free 비율: 77%
- Premium 비율: 20%
- Business 비율: 3%
- 변동비용: 유료 사용자당 15원
- 고정비용: 1-12개월 4257650원, 13-24개월 5500000원, 25-36개월 8000000원 (인력 증가)
